Timestamp[nanosec],lat[deg],lon[deg],alt[deg]
1666189804055, 43.6155984, 7.0666867, 174.09999084472656
1666189805074, 43.6156017, 7.06668, 174.09999084472656
1666189806053, 43.6156066, 7.0666786, 174.09999084472656
1666189807054, 43.6156113, 7.0666777, 174.09999084472656
1666189808057, 43.6156156, 7.0666783, 174.09999084472656
1666189809074, 43.6156192, 7.0666808, 174.09999084472656
1666189810049, 43.6156225, 7.0666815, 174.59999084472656
1666189811065, 43.6156239, 7.0666826, 174.59999084472656
1666189812055, 43.6156255, 7.0666833, 174.59999084472656
1666189813055, 43.6156282, 7.0666834, 174.59999084472656
1666189813820, 43.6156316, 7.0666834, 174.59999084472656
1666189814570, 43.6156362, 7.0666821, 174.59999084472656
1666189815067, 43.6156389, 7.0666811, 174.59999084472656
1666189816011, 43.6156436, 7.0666746, 174.09999084472656
1666189816759, 43.6156443, 7.0666708, 174.09999084472656
1666189817452, 43.6156489, 7.0666673, 174.09999084472656
1666189818054, 43.6156526, 7.0666651, 174.09999084472656
1666189818901, 43.6156596, 7.0666617, 174.09999084472656
1666189819556, 43.6156662, 7.06666, 174.09999084472656
1666189820057, 43.6156704, 7.0666592, 174.09999084472656
1666189821080, 43.6156793, 7.066653, 174.09999084472656
1666189821613, 43.6156805, 7.066649, 174.09999084472656
1666189822061, 43.6156821, 7.0666459, 174.09999084472656
1666189822970, 43.6156865, 7.0666419, 174.09999084472656
1666189823716, 43.6156927, 7.0666391, 174.09999084472656
1666189825061, 43.6157042, 7.0666343, 174.09999084472656
1666189825817, 43.6157106, 7.0666318, 174.09999084472656
1666189827064, 43.6157203, 7.0666274, 174.09999084472656
1666189827855, 43.6157242, 7.0666244, 174.59999084472656
1666189829043, 43.6157281, 7.0666234, 174.59999084472656
1666189829834, 43.6157336, 7.0666244, 174.59999084472656
1666189831058, 43.6157443, 7.0666255, 174.59999084472656
1666189831773, 43.6157509, 7.0666274, 174.59999084472656
1666189833046, 43.6157626, 7.0666305, 174.59999084472656
1666189833822, 43.6157697, 7.0666336, 174.59999084472656
1666189835056, 43.6157811, 7.0666385, 174.59999084472656
1666189836061, 43.6157916, 7.0666492, 174.5
1666189836588, 43.6157948, 7.0666515, 174.5
1666189837056, 43.615798, 7.0666535, 174.5
1666189837920, 43.6158032, 7.0666567, 174.5
1666189838591, 43.6158089, 7.0666605, 174.5
1666189839074, 43.6158125, 7.0666627, 174.5
1666189839832, 43.6158181, 7.0666666, 174.5
1666189841046, 43.6158266, 7.0666728, 174.5
1666189841775, 43.6158329, 7.0666769, 174.5
1666189843070, 43.615844, 7.0666864, 174.59999084472656
1666189843737, 43.6158446, 7.066688, 174.59999084472656
1666189844393, 43.6158468, 7.0666889, 174.59999084472656
1666189845073, 43.6158515, 7.0666899, 174.59999084472656
1666189845767, 43.6158569, 7.0666908, 174.59999084472656
1666189846455, 43.6158614, 7.0666912, 174.59999084472656
1666189847054, 43.6158655, 7.0666916, 174.59999084472656
1666189847819, 43.6158724, 7.0666919, 174.59999084472656
1666189848477, 43.6158774, 7.0666922, 174.59999084472656
1666189849069, 43.6158815, 7.0666927, 174.59999084472656
1666189849866, 43.615889, 7.0666941, 174.59999084472656
1666189851199, 43.6158973, 7.0666889, 173.6999969482422
1666189851951, 43.6158992, 7.066682, 173.6999969482422
1666189852588, 43.6159013, 7.0666757, 173.6999969482422
1666189853068, 43.6158958, 7.0666934, 173.6999969482422
1666189854066, 43.6158944, 7.0667079, 173.6999969482422
1666189855041, 43.615902, 7.0667111, 173.6999969482422
1666189856057, 43.6159093, 7.0667125, 173.6999969482422
1666189857046, 43.6159157, 7.0667119, 173.6999969482422
1666189858061, 43.6159254, 7.0667088, 174.09999084472656
1666189859060, 43.6159321, 7.0667064, 174.09999084472656
1666189860050, 43.6159397, 7.0667039, 174.09999084472656
1666189861060, 43.6159515, 7.066698, 174.09999084472656
1666189862049, 43.6159615, 7.0666891, 174.09999084472656
1666189863051, 43.6159702, 7.0666763, 174.09999084472656
1666189864053, 43.615975, 7.0666634, 174.09999084472656
1666189865044, 43.6159777, 7.0666495, 174.09999084472656
1666189866043, 43.6159804, 7.0666338, 174.59999084472656
1666189867059, 43.6159815, 7.0666175, 174.59999084472656
1666189868051, 43.6159817, 7.0666035, 174.59999084472656
1666189869064, 43.6159827, 7.0665903, 174.59999084472656
1666189870059, 43.6159826, 7.0665743, 174.59999084472656
1666189871045, 43.6159815, 7.06656, 174.59999084472656
1666189872052, 43.615981, 7.0665472, 174.59999084472656
1666189873035, 43.6159811, 7.066526, 170.59999084472656
1666189874063, 43.6159816, 7.0665157, 170.59999084472656
1666189875046, 43.6159816, 7.0665024, 170.59999084472656
1666189876051, 43.615981, 7.0664898, 170.59999084472656
1666189877047, 43.6159807, 7.0664773, 170.59999084472656
1666189878066, 43.6159803, 7.0664642, 170.59999084472656
1666189879055, 43.6159792, 7.0664474, 170.59999084472656
1666189880054, 43.6159784, 7.066431, 170.59999084472656
1666189881069, 43.6159778, 7.0664113, 171.6999969482422
1666189882065, 43.6159773, 7.0664021, 171.6999969482422
1666189883043, 43.6159773, 7.0663889, 171.6999969482422
1666189884064, 43.6159782, 7.0663764, 171.6999969482422
1666189885062, 43.6159798, 7.066364, 171.6999969482422
1666189886040, 43.615982, 7.0663442, 170.59999084472656
1666189887053, 43.6159829, 7.0663325, 170.59999084472656
1666189888055, 43.6159838, 7.0663198, 170.59999084472656
1666189889051, 43.6159847, 7.0663071, 170.59999084472656
1666189890053, 43.6159857, 7.0662934, 170.59999084472656
1666189891044, 43.6159872, 7.0662827, 170.59999084472656
1666189892042, 43.6159904, 7.0662685, 170.59999084472656
1666189893059, 43.6159966, 7.0662606, 170.59999084472656
1666189894059, 43.6160075, 7.0662526, 170.59999084472656
1666189895060, 43.6160201, 7.0662443, 170.59999084472656
1666189896048, 43.6160308, 7.0662355, 170.59999084472656
1666189897067, 43.6160428, 7.0662244, 170.5
1666189898065, 43.6160513, 7.0662154, 170.5
1666189899058, 43.61605, 7.066203, 170.5
1666189899873, 43.6160406, 7.0661884, 170.5
1666189900412, 43.6160373, 7.0661803, 170.5
1666189900972, 43.6160398, 7.0661752, 170.5
1666189901557, 43.616044, 7.0661716, 170.5
1666189902049, 43.6160486, 7.0661694, 170.5
1666189902663, 43.6160567, 7.0661685, 170.5
1666189903753, 43.6160916, 7.0661768, 170.59999084472656
1666189904879, 43.6161039, 7.0661768, 170.59999084472656
1666189905480, 43.6161124, 7.0661757, 170.59999084472656
1666189906065, 43.6161187, 7.0661732, 170.59999084472656
1666189906602, 43.6161244, 7.0661696, 170.59999084472656
1666189907173, 43.6161269, 7.0661651, 170.59999084472656
1666189907734, 43.6161281, 7.0661599, 170.59999084472656
1666189908333, 43.6161279, 7.066153, 170.59999084472656
1666189908897, 43.6161274, 7.0661469, 170.59999084472656
1666189909491, 43.6161246, 7.0661393, 170.59999084472656
1666189909995, 43.6161221, 7.0661338, 170.59999084472656
1666189910587, 43.6161157, 7.0661258, 170.59999084472656
1666189911135, 43.6161044, 7.0661208, 170.59999084472656
1666189911722, 43.6160974, 7.0661161, 170.59999084472656
1666189912298, 43.616082, 7.0661119, 170.6999969482422
1666189912913, 43.6160753, 7.0661102, 170.6999969482422
1666189913432, 43.6160672, 7.0661098, 170.6999969482422
1666189914034, 43.6160621, 7.0661061, 170.6999969482422
1666189914584, 43.6160556, 7.0661029, 170.6999969482422
1666189915065, 43.6160516, 7.0660993, 170.6999969482422
1666189915711, 43.6160447, 7.0660932, 170.6999969482422
1666189916318, 43.6160385, 7.0660882, 170.6999969482422
1666189916963, 43.6160335, 7.0660827, 170.6999969482422
1666189917548, 43.616028, 7.0660781, 170.6999969482422
1666189918064, 43.6160244, 7.0660739, 170.6999969482422
1666189918749, 43.6160031, 7.0660632, 170.59999084472656
1666189919322, 43.6160025, 7.0660654, 170.59999084472656
1666189919905, 43.6159992, 7.0660611, 170.59999084472656
1666189920497, 43.6159961, 7.0660573, 170.59999084472656
1666189921055, 43.6159929, 7.0660528, 170.59999084472656
1666189921644, 43.6159897, 7.0660479, 170.59999084472656
1666189922213, 43.6159855, 7.0660423, 170.59999084472656
1666189922793, 43.6159816, 7.0660368, 170.59999084472656
1666189923351, 43.6159778, 7.0660317, 170.59999084472656
1666189923933, 43.615974, 7.0660265, 170.59999084472656
1666189924529, 43.6159698, 7.0660216, 170.59999084472656
1666189925059, 43.6159664, 7.0660172, 170.59999084472656
1666189925723, 43.6159611, 7.0660106, 170.59999084472656
1666189926316, 43.615956, 7.0660094, 170.59999084472656
1666189926890, 43.6159517, 7.0660063, 170.59999084472656
1666189927450, 43.6159385, 7.0660093, 170.5
1666189928015, 43.6159339, 7.0660104, 170.5
